"Genes","FDR.original","FDR.nn","FriedmanP","NumExprsses"
"AOC3",4.53e-30,2.04394637793735e-32,0.00156540225800255,10
"CDH5",5.37e-30,2.58379993550511e-32,NA,NA
"EMCN",1.41e-29,7.06905913481102e-32,NA,NA
"ERG",1.65e-29,1.56387803340887e-31,NA,NA
"FGR",1.04e-28,1.17381418967348e-30,NA,NA
"FOXF1",8.82e-30,1.00512712399872e-31,NA,NA
"GIMAP6",1.65e-29,1.00512712399872e-31,NA,NA
"LDB2",4.53e-30,2.04394637793735e-32,NA,NA
"RAMP3",4.53e-30,5.06516126701375e-32,NA,NA
"TCF21",5.37e-30,3.62900552166154e-32,NA,NA
