"","ID","adjP.original","adjP.qn","WicoxonP"
"1","ADAM12",7.62e-23,4.20964447675202e-33,5.24520874023437e-05
"2","ADAM8",5.03e-22,4.01498429228167e-47,NA
"3","ASPN",NA,3.88067882113178e-11,NA
"4","BGN",NA,9.23064841061143e-14,NA
"5","CD27",5.52e-11,3.52374830381425e-30,NA
"6","CILP",8.06e-11,2.65869107328899e-15,NA
"7","COL10A1",6.66e-30,5.41008357832413e-73,NA
"8","COL15A1",NA,5.41696737510427e-17,NA
"9","COL1A2",5.05e-13,1.06071995437057e-30,NA
"10","COL3A1",5.98e-23,3.29523978316016e-54,NA
"11","COL6A3",7.27e-12,1.17428119645676e-37,NA
"12","COMP",1.28e-15,8.24204237430963e-24,NA
"13","CXCL14",6.12e-11,4.11780945519648e-17,NA
"14","CXCL9",0.000368,1.68093100917637e-10,NA
"15","DIO2",1.54e-17,4.10341377039763e-23,NA
"16","FAP",1.24e-23,2.22599602653542e-47,NA
"17","FMO1",NA,1.98038365511922e-13,NA
"18","GREM1",2.79e-26,1.03270042518915e-40,NA
"19","ISLR",NA,5.81463738316155e-14,NA
"20","LRRC15",1.69e-11,4.72678442376767e-19,NA
"21","LTB",NA,1.03690310718294e-17,NA
"22","LY96",NA,3.13727598162362e-17,NA
"23","MMP3",4.9e-17,2.28364359203758e-13,NA
"24","MXRA5",1.56e-12,1.06670476998503e-30,NA
"25","NOX4",NA,1.76931557365761e-15,NA
"26","OLFML2B",NA,3.02907680147788e-26,NA
"27","RGS1",NA,3.23871981686763e-17,NA
"28","SFRP4",1.02e-05,1.27725952052569e-15,NA
"29","SULF1",7.93e-22,2.43327429327171e-45,NA
"30","TAP1",NA,1.67016557877707e-18,NA
"31","TENM4",4.06e-17,NA,NA
"32","THBS2",2.53e-25,9.58520261954562e-61,NA
"33","TNFSF4",1.4e-12,2.49696819587822e-21,NA
"34","VCAM1",NA,2.78984583307689e-20,NA
"35","WISP1",2.94e-22,NA,NA
